album rock,big room,classic rock,dance pop,electro house,electropop,gangster rap,hard rock,hip hop,hip pop,indie poptimism,latin hip hop,latin pop,neo soul,new jack swing,permanent wave,pop edm,post-teen pop,progressive electro house,reggaeton,southern hip hop,trap,tropical,urban contemporary
0.5823333333333333,,0.6463333333333333,0.993,,0.7895000000000001,0.6976153846153846,0.89425,0.7725,0.72325,,0.87925,0.5945714285714285,0.516,0.6664444444444445,0.7459,,0.78,0.8665,,0.72965,,,0.579
0.75575,,0.6113333333333333,0.942,0.669,0.6609999999999999,0.8195,0.9266666666666667,0.543,0.702,0.0581,0.738,0.6362857142857142,0.5446842105263158,0.7222222222222222,0.745,,0.5952500000000001,,0.7410000000000001,0.7051052631578948,,,0.47175
0.7582857142857142,,0.6884285714285714,,,0.6286666666666666,0.768,0.8228571428571428,0.596,0.6955714285714285,0.527,0.7672857142857143,0.51,0.5389166666666666,0.6557000000000001,0.7491,,0.81125,0.8565,0.7293333333333334,0.7758076923076923,,,0.5588888888888889
0.764,,0.7031428571428571,,,0.669,0.7375384615384615,0.8069,0.7928,0.5838,,0.6908000000000001,0.657125,0.3501083333333333,0.6327857142857143,0.7068181818181818,,0.8026,0.885,0.7242857142857143,0.7398947368421053,,0.6693333333333333,0.5505
0.7866470588235294,,0.665923076923077,0.897,,0.7246,0.7302142857142858,0.9023076923076924,0.892,0.59375,,0.7245625,0.57275,0.5117499999999999,0.6963333333333334,0.8163529411764706,,,0.942,0.7971666666666667,0.7193333333333334,,0.752,0.7213999999999999
0.7527777777777778,0.812,0.6842222222222223,0.6735,,0.73275,0.7777333333333334,0.8951,0.6093333333333333,0.5434,,0.7035714285714285,0.6393888888888889,0.5114285714285715,0.6579090909090909,0.7989999999999999,,0.8322499999999999,0.7857272727272728,0.7660588235294118,0.7309666666666668,,0.7308,0.4794285714285714
0.7317894736842105,0.921,0.6564285714285714,0.829,0.583,0.8201538461538462,0.8045263157894736,0.8157,0.6715,0.6115714285714285,0.471,0.7737619047619047,0.6279473684210527,0.54235,0.7049090909090909,0.7935714285714285,,0.7519285714285714,0.6824117647058823,0.741111111111111,0.7292,,0.7446666666666667,0.4758333333333334
0.7368571428571429,,0.7108387096774194,0.8453333333333334,0.935,0.7579571428571429,0.7246923076923076,0.8718823529411764,0.719,0.737,0.635,0.7382702702702703,0.6801666666666667,0.538428,0.5934,0.8024999999999999,,0.8337333333333333,0.7474571428571429,0.7645333333333333,0.65864,,0.7515000000000001,0.6096428571428572
0.6515454545454545,,0.6953333333333332,0.9632,0.658,0.84475,0.7744615384615384,0.831,0.60175,0.5606666666666666,0.67275,0.7148636363636364,0.7494444444444445,0.5434,0.8597999999999999,0.6897555555555556,0.828,0.8375416666666666,0.7355666666666667,0.8528181818181818,0.7113333333333334,,0.7093333333333334,0.63725
0.6369393939393939,0.7545,0.7639473684210527,0.80025,0.84575,0.7664102564102564,0.7519411764705882,0.8178888888888889,0.7356666666666666,0.6788000000000001,0.7995,0.6985,0.7921333333333334,0.5216875,0.678,0.654,0.88575,0.8060930232558139,0.8461666666666666,0.748,0.71085,,0.783,0.5458333333333333
0.6501250000000001,0.576,0.772625,0.67,0.6981666666666667,0.7568928571428571,0.7904444444444444,0.8851428571428572,,,0.3385,0.7836470588235295,0.6701333333333334,0.5878913043478261,0.7872857142857143,0.7236666666666666,0.7905,0.7698686486486487,0.7444285714285714,0.7947272727272728,0.7482857142857143,,1.0,0.6158571428571429
0.6287142857142857,0.82175,0.686,0.81225,0.7375,0.7804193548387097,0.7152352941176471,0.8686875,,0.631875,0.6660526315789473,0.75692,0.6397736842105263,0.5532230769230769,0.7914,0.7561666666666667,0.7982,0.8114705882352942,0.7906428571428572,0.7696000000000001,0.7516545454545455,0.8915,0.683,0.5559285714285714
0.95,0.8651818181818182,0.731,0.84275,0.7526363636363637,0.7287857142857144,0.8042727272727273,0.8827619047619047,0.479,0.509,0.7121470588235295,0.7846551724137931,0.6889230769230769,0.5354782608695653,0.76525,0.6617333333333334,0.8200000000000001,0.7937142857142857,0.8275737704918033,0.784875,0.7058599999999999,0.8306666666666667,0.66125,0.6702173913043478
0.5128148148148148,0.8893544303797468,0.6854999999999999,0.8628333333333332,0.753095238095238,0.7853695652173913,0.7447297297297297,0.8720833333333333,0.7162857142857143,0.7010000000000001,0.7018846153846153,0.8273488372093023,0.7351428571428572,0.568241935483871,0.6983571428571428,0.7190555555555556,0.8152758620689655,0.73816,0.8429007633587786,0.773090909090909,0.6924225352112676,0.8162857142857142,0.653952380952381,0.6077096774193548
0.7546666666666666,0.8800638297872341,0.7430000000000001,0.7070000000000001,0.8372222222222222,0.7159272727272726,0.6629393939393939,0.8844736842105263,0.7015652173913043,0.6061666666666666,0.6508,0.77,0.7190833333333333,0.5724864864864865,0.6672857142857144,0.6397499999999999,0.7571095890410958,0.7305217391304347,0.8069404761904762,0.78,0.6492745098039215,0.7047272727272728,0.7100545454545454,0.5752700000000001
0.6980000000000001,0.9152121212121211,0.7351764705882352,0.8805000000000001,0.8273965517241378,0.6930277777777778,0.6593478260869565,0.854090909090909,0.5762631578947368,0.6278666666666666,0.623490625,0.7423522727272727,0.69744,0.5798387096774194,0.702,0.6074736842105263,0.7708958333333333,0.6699285714285714,0.7948205128205128,0.7691904761904761,0.6740759493670886,0.7667058823529412,0.7246891891891892,0.5522
0.5684444444444444,0.8481176470588235,0.7356875,0.7862222222222222,0.8006923076923077,0.7087777777777777,0.6926887417218544,0.8803461538461538,0.5412136363636364,0.6571153846153847,0.6403203883495145,0.7557471264367817,0.7533333333333333,0.5673220338983052,0.732,0.5782222222222222,0.7494095238095239,0.6978518518518518,0.7753225806451614,0.7976666666666666,0.6491458333333333,0.6359508196721312,0.6335386842105263,0.5455348314606742
0.9019999999999999,0.8721481481481481,0.8043333333333332,0.7559826086956521,0.7595953488372092,0.680247619047619,0.6696666666666666,0.8721363636363637,0.45427295597484274,0.6304901960784314,0.5919233644859813,0.7464869565217391,0.6563333333333333,0.5388131868131869,0.658,0.645090909090909,0.7612988505747127,0.6170645161290323,0.8242987804878049,0.7300769230769231,0.6683829787234042,0.6416272189349113,0.6334491525423729,0.5223828828828828
0.7622857142857143,0.8595462427745665,0.7446451612903225,0.7604931506849315,0.8118766756032171,0.6904406779661016,0.6038727272727273,0.8739733333333334,0.5650372302158274,0.6105197674418605,0.5841683333333333,0.6834403669724771,0.6796208178438662,0.5306504854368932,0.79,0.7194950819672131,0.7389824561403509,0.5891868131868132,0.8253640350877193,0.7143548387096774,0.6642391304347826,0.6414851301115242,0.6556972222222222,0.5877950248756219
,0.8142142857142858,,0.6887083333333334,0.7856799999999999,0.6654,0.959,0.8697391304347827,0.5919041095890412,0.5839,0.5737575757575758,0.6950000000000001,0.6341434782608696,0.554,,0.7911428571428571,0.70035,0.388,0.8079999999999999,0.7162727272727273,,0.6241612903225806,0.7242272727272727,0.6609999999999999
